"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Friday, April 01, 2016",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
"",,,,,"Possession of Marijuana, Possession of Drug",,
"",,,,,"Paraphernalia, DUI-Super Extreme w/BAC of .20 or",,
"",,,,,"Higher, DUI-Extreme w/BAC of .15 or more but less",,
16-26111T,4/1,0203 hrs,4/1,0203 hrs,"4/1 0203 hrs than .20, DUI w/BAC of .08 or Higher, DUI-Alcohol,",S Rural Rd/E Lemon St,Cleared by Arrest
"",,,,,"Drug, Vapor, Combination Thereof, Under 21 Years of",,
"",,,,,Age to Drive/Be in physical control of Vehicle,,
"",,,,,"w/Liquor in Body, Minor with Alcohol in Body",,
"",,,,,,,Cleared by
16-26217T,4/1,1150 hrs,4/1,1150 hrs,4/1 1150 hrs Robbery,Social Sciences,
"",,,,,,,Exceptional Means
16-26228T,4/1,1208 hrs,4/1,1208 hrs,"4/1 1208 hrs Trafficking in Stolen Property-1st Degree, Shoplifting",ASU Bookstore,Pending
"",,,,,,College Avenue,
16-26229T,4/1,1217 hrs,4/1,1217 hrs,4/1 1217 hrs Shoplifting,,Cleared by Arrest
"",,,,,,Commons,
16-26242T,4/1,1253 hrs,4/1,1100 hrs,4/1 1200 hrs Theft,Hayden Library,Pending
"",,,,,"Criminal Trespass-1st Degree, Residential Structure,",University Towers,
16-26248T,4/1,1338 hrs,4/1,1338 hrs,4/1 1338 hrs,,Pending
"",,,,,"Criminal Trespass-1st Degree, Fenced residential yard",Apartments,
"",,,,,,4500 Block W,
16-26311W,4/1,1955 hrs,4/1,1955 hrs,4/1 2056 hrs Driving while suspended,,Cleared by Arrest
"",,,,,,University Way N,
"",,,,,"Possession of Marijuana, Possession of Drug",,
16-26331T,4/1,2155 hrs,4/1,2155 hrs,"4/1 2346 hrs Paraphernalia, Unlawful to Sell/Furnish/dispose of/give",Hassayampa Phase 1,Pending
"",,,,,Liquor to an Under Aged Person,,
"",,,,,,S Rural Rd/E Vista Del,
16-26358T,4/1,2322 hrs,4/1,2322 hrs,4/1 2322 hrs Unlawful to Consume Alcohol in Public,,Cleared by Arrest
"",,,,,,Cerro Dr,
16-80000115T,4/1,1700 hrs,4/1,1010 hrs,4/1,1015 hrs,Theft,Walmart,Pending
"",,,,,,,,Mall
16-80000116T,4/2,1951 hrs,4/2,1100 hrs,4/2,1835 hrs,Bike Theft,Physical Sciences H
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-26692T,4/3,0047 hrs,4/3,0047 hrs,4/3,0134 hrs,Possession of Drug Paraphernalia,Villas at Vista Del Sol,Closed
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
16-26693T,4/3,0048 hrs,4/3,0048 hrs,4/3,0048 hrs,,Willow Hall,Pending
"",,,,,,,Paraphernalia,,
16-26699T,4/3,0124 hrs,4/3,0124 hrs,4/3,0152 hrs,Minor with Alcohol in Body,Villas at Vista Del Sol,Cleared by Arrest
16-26714T,4/3,0344 hrs,4/3,0344 hrs,4/3,0344 hrs,Minor with Alcohol in Body,Parking Area 19,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,S McAllister Ave/E,
16-26964T,4/4,0004 hrs,4/4,0004 hrs,4/4,0020 hrs,Unlawful to Consume Alcohol in Public,,Cleared by Arrest
"",,,,,,,,University Dr,
16-27027T,4/4,0737 hrs,4/4,1800 hrs,4/4,0700 hrs,Criminal Damage,McClintock Hall,Closed
16-27070T,4/4,0924 hrs,4/4,0910 hrs,4/4,0910 hrs,Criminal Damage,Parking Area 59,Pending
16-27128T,4/4,1239 hrs,4/4,0800 hrs,4/4,1700 hrs,Fraudulent Use of a Credit Card,Adelphi Commons,Pending
16-27174T,4/4,1600 hrs,4/4,1220 hrs,4/4,1240 hrs,Theft,Barrett Honors College,Pending
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
16-27241T,4/4,2207 hrs,4/4,2207 hrs,4/4,2250 hrs,,Palo Verde East,Pending
"",,,,,,,"Paraphernalia, Minor with Alcohol in Body",,
16-27126T,4/4,1225 hrs,4/4,1225 hrs,4/5,1225 hrs,Assault,Memorial Union,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Possession of Drug Paraphernalia, False Reporting to",,
16-27347T,4/5,0737 hrs,4/5,0737 hrs,4/5,0737 hrs,,Barrett Honors College,Pending
"",,,,,,,Law Enforcement,,
16-27423T,4/5,1133 hrs,4/5,1133 hrs,4/5,1133 hrs,Shoplifting,Bookstore,Cleared by Arrest
16-27430T,4/5,1211 hrs,4/5,1211 hrs,4/5,1234 hrs,Bike Theft,Parking Area 59,Pending
"",,,,,,,"Possession of Marijuana, Possession of Drug",Sun Devil Fitness,
16-27519T,4/5,1914 hrs,4/5,1914 hrs,4/5,2136 hrs,,,Pending
"",,,,,,,"Paraphernalia, Criminal Trespass",Center,
16-27550T,4/5,2159 hrs,4/5,2130 hrs,4/5,2159 hrs,Criminal Damage,Farmer Building,Pending
16-27560T,4/5,2233 hrs,4/5,2233 hrs,4/5,2304 hrs,Possession of Drug Paraphernalia,Parking Structure 4,Pending
"",,,,,,,,800 Block of S Mill,
16-80000121T,4/5,1515 hrs,3/26,2230 hrs,3/26,2300 hrs,Damage to Property,,Pending
"",,,,,,,,Ave,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-27577T,4/6,0013hrs,4/6,0013 hrs,4/6,0047 hrs,Under 21 with Alcohol in the Body,Manzanita Hall,Cleared By Arrest
16-27586T,4/6,0141 hrs,4/6,0141 hrs,4/6,0242 hrs,Under 21 with Alcohol in the Body,Villas,Cleared By Arrest
16-27741P,4/6,1433 hrs,3/31,2200 hrs,4/5,1750 hrs,Criminal Damage,Mustang Hall,Pending
16-27756T,4/6,1546 hrs,4/4,1000 hrs,4/6,1400 hrs,Theft,Social Sciences,Pending
16-27774T,4/6,1644 hrs,4/5,1700 hrs,4/5,1900 hrs,"Vehicle Burglary, Criminal Damage",Parking Lot 5,Pending
16-27786T,4/6,1800 hrs,4/6,1801 hrs,4/6,1801 hrs,Accident,Forest Mall,Pending
16-27798T,4/6,1704 hrs,4/6,1510 hrs,4/6,1530 hrs,Vehicle Burglary,Parking Lot 20,Pending
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
16-27863P,4/6,2246 hrs,4/6,2247 hrs,4/6,2247 hrs,,South Desert Village,Pending
"",,,,,,,Paraphernalia,,
"",,,,,,,,600 Block of E Tyler,
16-80000120T,4/6,2023 hrs,4/6,1800 hrs,4/6,1915 hrs,Bike Theft,,Pending
"",,,,,,,,Mall,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-27889T,4/7,0030 hrs,4/7,0030 hrs,4/7,0030 hrs,Disorderly Conduct,Hayden Library,Cleared by Arrest
16-27995T,4/7,1050 hrs,4/7,1050 hrs,4/7,1050 hrs,Trespass,Memorial Union,Cleared by Arrest
16-28013T,4/7,1150 hrs,3/27,1200 hrs,4/7,1200 hrs,Burglary,Manzanita,Pending
16-28142T,4/7,2303 hrs,4/7,2300 hrs,4/7,2310 hrs,"Assault, Disorderly Conduct",Hassyampa Phase II,Cleared by Arrest
16-28164P,4/8,0236 hrs,4/7,1200 hrs,4/8,0225 hrs,Theft,6000 Blk E Unger,Pending
16-80000123P,4/7,1836 hrs,4/7,1200 hrs,4/7,1500 hrs,Bicycle Theft,Peralta Hall,Pending
"",,,,,,,,Sun Devil Fitness,
16-80000137T,4/7,2334 hrs,4/7,2030 hrs,4/7,2300 hrs,Bicycle Theft,,Pending
"",,,,,,,,Center,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,6800 Block of E Unger,
16-28164P,4/8,0236 hrs,4/7,1200 hrs,4/8,0225 hrs,Theft,,Pending
"",,,,,,,,Ave,
"",,,,,,,,E Vista Del Cerro Dr/ S,
16-2832T,4/8,1845 hrs,4/8,1845 hrs,4/8,1915 hrs,Operated A Vehicle Certified as Non-Operational,,Cleared By Arrest
"",,,,,,,,Rural Rd,
16-28377T,4/8,2156 hrs,4/8,2156 hrs,4/8,2249 hrs,Reckless Driving,Parking Structure 2,Cleared By Arrest
16-800000122P,4/8,2059 hrs,4/8,1305 hrs,4/8,1440 hrs,Bicycle Theft,Santan Hall,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Under 21 Possession of Alcohol, Under 21 with",,
16-28415T,4/9,0021 hrs,4/9,0022 hrs,4/9,0022 hrs,,Villas,Cleared By Arrest
"",,,,,,,Alcohol in the Body,,
16-28429T,4/9,0124 hrs,4/9,0124 hrs,4/9,0124 hrs,Under  21 Possession of Alcohol,Manzanita Hall,Cleared By Arrest
16-28437T,4/9,0205 hrs,4/9,0205 hrs,4/9,0302 hrs,Under 21 with Alcohol in the Body,Sonora Hall,Cleared By Arrest
16-28591T,4/9,1310 hrs,4/9,1311 hrs,4/9,1326 hrs,Criminal Trespass,Memorial Union,Cleared By Arrest
"",,,,,,,"Possession of Marijuana, Drug Paraphernalia, Speed",N 7th St/ E Van Buren,
16-28668D,4/9,1915 hrs,4/9,1915 hrs,4/9,1915 hrs,,,Pending
"",,,,,,,Greater Than Reasonable and Prudent,St,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description Location,,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-28757T,4/10,0118 hrs,4/10,0118 hrs,4/10,0118 hrs,Under 21 w/ Alcohol in the Body Manzanita,,Cleared by Arrest
16-28761D,4/10,0140 hrs,4/10,0140 hrs,4/10,0140 hrs,Driving with a Suspended/Cancelled License N 3rd St / E Garfield St,,Cleared by Arrest
"",,,,,,,"Super Extreme DUI, Extreme DUI, DUI, w/ BAC .08 or E University Dr / S",,
16-28765T,4/10,0151 hrs,4/10,0151 hrs,4/10,0436 hrs,,,Cleared by Arrest
"",,,,,,,"higher,  DUI- Alcohol, Drug, Vapor, Combo Myrtle Ave",,
16-28767T,4/10,0209 hrs,4/10,0209 hrs,4/10,0234 hrs,Under 21 w/ Alcohol in the Body Manzanita,,Cleared by Arrest
16-28768T,4/10,0204 hrs,4/10,0204 hrs,4/10,0204 hrs,Under 21 w/ Alcohol in the Body Manzanita,,Cleared by Arrest
16-28770T,4/10,0233 hrs,4/10,0233 hrs,4/10,0233 hrs,Under 21 w/ Alcohol in the Body Manzanita,,Cleared by Arrest
16-28802T,4/10,0657 hrs,4/10,0657 hrs,4/10,0918 hrs,Possession of Drug Paraphernalia Palo Verde Main,,Cleared by Arrest
"",,,,,,,"Disorderly Conduct, Possession of Drug Paraphernalia,",,
16-28864T,4/10,1047 hrs,4/10,1047 hrs,4/10,1047 hrs,Hassayampa Phase II,,Cleared by Arrest
"",,,,,,,Trespassing,,
16-28905T,4/10,1550 hrs,4/10,1400 hrs,4/10,1400 hrs,Bicycle Theft Hayden Library,,Pending
"",,,,,,,School of Evolution and,,
16-28911T,4/10,1633 hrs,4/10,1400 hrs,4/10,1530 hrs,Criminal Damage,,Pending
"",,,,,,,Social Change,,
"",,,,,,,Engineering Research,,
16-28925T,4/10,1845 hrs,4/10,1730 hrs,4/10,1745 hrs,Bicycle Theft,,Pending
"",,,,,,,Center,,
"",,,,,,,"Resisting Arrest, Driving w/ a Suspended License,",,
"",,,,,,,"Reckless Driving, Fail to comply with order of a police",,
16-28945D,4/10,2045 hrs,4/10,2045 hrs,4/10,2045 hrs,,E Polk St / N 7th St,Pending
"",,,,,,,"officer, Possession of Dangerous Drugs, Possession of",,
"",,,,,,,"Narcotics, Possession of Drug Paraphernalia",,
"",,,,,,,"Possession of Marijuana, Possession of Drug",E Apache Blvd / S,
16-28965T,4/10,2227 hrs,4/10,2227 hrs,4/11,0134 hrs,,,Pending
"",,,,,,,Paraphernalia,Terrace Rd,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
16-28978T,4/10,2336 hrs,4/10,2336 hrs,4/11,0046 hrs,,Skyspace,Pending
"",,,,,,,Paraphernalia,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-29004T,4/11,0416 hrs,4/11,0416 hrs,4/11,0441 hrs,Theft of Services,Hassyampa Phase II,Cleared by Arrest
16-29102T,4/11,1051 hrs,3/20,2200 hrs,3/29,0930 hrs,Theft,Wells Fargo Arena,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Possession of Drug Paraphernalia, Possession w/ Intent",,
16-29292T,4/12,0003 hrs,4/12,0003 hrs,4/12,0014 hrs,,Fulton,Pending
"",,,,,,,to Use Imitation Controlled Substance,,
"",,,,,,,,S Athletes Pl/,
16-29436T,4/12,1138 hrs,4/12,1138 hrs,4/12,1334 hrs,Accident,,Pending
"",,,,,,,,University DR,
"",,,,,,,,1000 Block of  E,
16-29522T,4/12,1628 hrs,4/12,1627 hrs,4/12,1750 hrs,Possession of  Marijuana,,Pending
"",,,,,,,,Williams,
16-29546T,4/12,1839 hrs,4/12,1835 hrs,4/12,1840 hrs,Assault,Parking Lot 17,Cleared By Arrest
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
16-29580T,4/12,2203 hrs,4/12,2203 hrs,4/12,2203 hrs,,Vista Del Sol,Pending
"",,,,,,,Paraphernalia,,
16-29603D,4/12,2334 hrs,4/12,2343 hrs,4/12,0547 hrs,Bike Theft,Cronkite Parking Lot,Pending
"",,,,,,,,Sun Devil Fitness,
16-80000124T,4/12,1116 hrs,4/11,2305 hrs,4/12,1105 hrs,Theft,,Pending
"",,,,,,,,Complex,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-29758T,4/13,1155 hrs,4/12,2030 hrs,4/12,2355 hrs,Theft,Armstrong Hall,Pending
"",,,,,,,,7300 Blk E Innovation,
16-29792P,4/13,1405 hrs,4/13,1405 hrs,4/13,1405 hrs,Reckless Driving,,Cleared by Arrest
"",,,,,,,,Way North,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,E Broadway Rd/ S Mill,
16-29931T,4/14,0033 hrs,4/14,0033 hrs,4/14,0033 hrs,Excessive Speed,,Cleared By Arrest
"",,,,,,,,Ave,
16-29937T,4/14,0118 hrs,4/13,2330 hrs,4/14,0118 hrs,Criminal Damage,Villas,Pending
16-30041T,4/14,1118 hrs,4/14,1118 hrs,4/14,1118 hrs,Accident,Parking Lot 20,Pending
"",,,,,,,,University Center,
16-30097D,4/14,1506 hrs,4/13,2300 hrs,4/14,0700 hrs,Theft,,Pending
"",,,,,,,,Library,
16-80000132T,4/14,1116 hrs,4/11,1210 hrs,4/12,0810 hrs,Theft,600 Block of E Tyler,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,School of Human,
"",,,,,,,Unlawful to sell/furnish/dispose of/give liquor to an,,
16-30244T,4/15,0133 hrs,4/15,0133 hrs,4/15,0133 hrs,,Evolution and Social,Cleared by Arrest
"",,,,,,,"Under Aged Person, Minor with Alcohol in body",,
"",,,,,,,,Change,
16-30261T,4/15,0316 hrs,4/15,0314 hrs,4/15,0314 hrs,Minor with Alcohol in body,Cottonwood Hall,Cleared by Arrest
16-30265T,4/15,0353 hrs,4/15,0353 hrs,4/15,0353 hrs,Assault,Hayden Library,Pending
16-30309T,4/15,0802 hrs,2/1,0000 hrs,2/15,2359 hrs,Theft,Computing Commons,Pending
16-30427T,4/15,1655 hrs,4/12,1600 hrs,4/15,0900 hrs,Theft,Sonora Center,Pending
"",,,,,,,,S Roosevelt St/W,
16-30451T,4/15,1958 hrs,4/15,1958 hrs,4/15,1958 hrs,Possession of Drug Paraphernalia,,Cleared by Arrest
"",,,,,,,,Broadway Rd,
"",,,,,,,,Sun Devil Fitness,
16-30462T,4/15,2052 hrs,4/15,1936 hrs,4/15,2100 hrs,Theft,,Pending
"",,,,,,,,Center,
"",,,,,,,,E Playa Del Norte Dr/S,
16-30478T,4/15,2202 hrs,4/15,2202 hrs,4/15,2202 hrs,Driving with a suspended/cancelled/revoked license,,Cleared by Arrest
"",,,,,,,,Scottsdale Rd,
16-30509T,4/15,2328 hrs,4/15,2328 hrs,4/15,2328 hrs,Driving with a suspended/cancelled/revoked license,Parking Structure 2,Cleared by Arrest
"",,,,,,,,Urban System,
16-80000129T,4/15,1335 hrs,4/15,1030 hrs,4/15,1300 hrs,Bike Theft,,Pending
"",,,,,,,,Engineering,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,E University Dr/S,
16-30525T,4/16,0050 hrs,4/16,0050 hrs,4/16,0050 hrs,Unlawful to Possess an Open Container,,Cleared By Arrest
"",,,,,,,,college Ave,
"",,,,,,,"Possession of Marijuana, Possession of Drug",E University Dr/S,
16-30546T,4/16,0227 hrs,4/16,0227 hrs,4/16,0227 hrs,,,Pending
"",,,,,,,"Paraphernalia, DUI",McAllister Ave,
"",,,,,,,"DUI, DUI w/BAC of .08 or Higher, Speed greater than",S Rural Rd/ S Terrace,
16-30554T,4/16,0245 hrs,4/16,0245 hrs,4/16,0245 hrs,,,Cleared By Arrest
"",,,,,,,Reasonable/ Prudent,RD,
"",,,,,,,,Ceramics  Graduate,
16-30688T,4/16,1359 hrs,4/16,1350 hrs,4/16,1359 hrs,"Indecent Exposure, Public Sexual Indecency",,Cleared By Arrest
"",,,,,,,,Studio,
16-30747T,4/16,2040 hrs,4/16,2044 hrs,4/16,2131 hrs,Criminal Damage,Vista Del Sol,Pending
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
16-30757T,4/16,2119 hrs,4/16,2119 hrs,4/16,2119 hrs,,Hayden West,Pending
"",,,,,,,Paraphernalia,,
"",,,,,,,,College Avenue,
16-30761T,4/16,2131 hrs,4/16,2135 hrs,4/16,2135 hrs,"Criminal Trespass, Under 21 With Alcohol in the Body",,Cleared By Arrest
"",,,,,,,,Commons,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,Fulton Parking,
16-30830T,4/17,0332 hrs,4/17,0100 hrs,4/17,0359 hrs,Vehicle Burglary,,Pending
"",,,,,,,,Structure,
16-31023T,4/17,1635 hrs,4/17,1635 hrs,4/17,1635 hrs,Driving with a suspended license,200 Blk E 5th St,Cleared by Arrest
"",,,,,,,,S Forest Ave / E,
16-31069T,4/17,2040 hrs,4/17,2040 hrs,4/17,2044 hrs,Racing / Exhibition of Speed,,Cleared by Arrest
"",,,,,,,,Apache Blvd,
16-31072T,4/17,2055 hrs,4/17,2055 hrs,4/17,2345 hrs,Trespass - Railroad,1700 Blk S Rural Rd,Cleared by Arrest
16-31105T,4/17,2300 hrs,4/17,2300 hrs,4/17,2300 hrs,Driving with a suspended license,West Desert Village,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,E Washington St/ N 7th,
16-31119D,4/18,0028 hrs,4/18,0028 hrs,4/18,0028 hrs,Excessive Speed in a Residential Area,,Cleared By Arrest
"",,,,,,,,St,
16-31132T,4/18,0210 hrs,4/18,0205 hrs,4/18,0210 hrs,Vehicle Burglary,Vista Del Sol Parking,Pending
16-31185T,4/18,0750 hrs,4/18,0750 hrs,4/18,0831 hrs,Burglary,Physical Sciences,Pending
"",,,,,,,,Student Services,
16-31270T,4/18,1156 hrs,4/18,1150 hrs,4/18,1200 hrs,Bike Theft,,Pending
"",,,,,,,,Building,
16-31340T,4/18,1508 hrs,4/18,1508 hrs,4/18,1644 hrs,"Forgery, Fraudent",Walmart,Pending
"",,,,,,,,Sun Devil Fitness,
16-80000133T,4/18,2005 hrs,4/18,1910 hrs,4/18,1950 hrs,Theft,,Pending
"",,,,,,,,Complex,
16-80000131T,4/18,1257 hrs,4/10,1245 hrs,4/11,1245 hrs,Theft,Cereus Hall,Pending
"",,,,,,,,Student Services,
16-34886T,4/30,0745 hrs,4/30,0745 hrs,4/30,0745 hrs,Criminal Damage,,Pending
"",,,,,,,,Building,
"",,,,,,,,Student Services,
16-34886T,4/30,0745 hrs,4/30,0745 hrs,4/30,0745 hrs,Criminal Damage,,Pending
"",,,,,,,,Building,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Unlawful Use of Means of Transportation, Criminal",,
16-31554T,4/19,0754 hrs,4/16,1400 hrs,4/19,0600 hrs,,Verde Dickey Dome,Pending
"",,,,,,,"Trespass, Burglary",,
16-31598T,4/19,0945 hrs,4/19,0925 hrs,4/19,0935 hrs,Theft,Hayden Library,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,University Services,
16-80000134T,4/20,1221 hrs,4/13,1215 hrs,4/13,1215 hrs,Theft,,Pending
"",,,,,,,,Building,
