"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Wednesday, February 01, 2017",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
17-80000032T,2/1,1152 hrs,2/1,1115 hrs,2/1 1125 hrs Theft,Manzanita Hall,Pending
17-80000033T,2/1,1447 hrs,2/1,1040 hrs,2/1 1320 hrs Bike Theft,Design South Building,Pending
17-9590T,2/1,0556 hrs,2/1,0600 hrs,2/1 0600 hrs Theft,Memorial Union,Pending
"",,,,,,University Services,
17-9710T,2/1,1336 hrs,1/27,1600 hrs,1/31 1300 hrs Burglary,,Pending
"",,,,,,Building,
"",,,,,,1100 Block of S Rural,
17-80000034T,2/1,2306 hrs,2/1,1615 hrs,2/1 2255 hrs Bike Theft,,Pending
"",,,,,,Rd,
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
17-80000039T,2/2,2254 hrs,2/2,2230 hrs,2/2,2230 hrs,Bike Theft,Memorial Union Pending
17-80000035T,2/2,1737 hrs,2/2,1330 hrs,2/2,1420 hrs,Bike Theft,Physical Sciences H Pending
17-80000036T,2/2,2156 hrs,2/1,1700 hrs,2/1,1945 hrs,Bike Theft,Business Administration Pending
"",,,,,,,,Sun Devil Fitness
17-10000T,2/2,1503 hrs,2/2,1430 hrs,2/2,1500 hrs,Theft,Pending
"",,,,,,,,Complex
17-10018T,2/2,1620 hrs,2/2,1245 hrs,2/2,1245 hrs,Indecent Exposure,Parking Structure 2 Pending
17-10020T,2/2,1633 hrs,2/2,0645 hrs,2/2,1230 hrs,Criminal Damage,Parking Structure 1 Pending
17-10049T,2/2,1857 hrs,2/2,1745 hrs,2/2,1830 hrs,Theft,Business Administration Pending
"",,,,,,,,S Perry Ln/ E Rio
17-10061T,2/2,1941 hrs,2/2,1941 hrs,2/2,2045 hrs,Possession of Drug Paraphernalia,Cleared By Arrest
"",,,,,,,,Salado Pky
17-10068T,2/2,1956 hrs,2/2,1930 hrs,2/2,1945 hrs,Theft  of Services,Domino's Pending
"",,,,,,,,E Apache Blvd/ S Paseo
17-10077T,2/2,2031 hrs,2/2,2031 hrs,2/2,2058 hrs,Unlawful to Sell Liquor to an Under Aged Person,Cleared By Arrest
"",,,,,,,,Del Saber
"",,,,,,,,E Apache Blvd/ S
17-10088T,2/2,2106 hrs,2/2,2106 hrs,2/2,2106 hrs,Unlawful to Sell Liquor to an Under Aged Person,Cleared By Arrest
"",,,,,,,,Normal Ave
17-10098T,2/2,2135 hrs,2/2,2135 hrs,2/2,2223 hrs,Reckless Driving,Parking Lot 59 Cleared By Arrest
17-80000039T,2/2,2254 hrs,2/2,2230 hrs,2/2,2230 hrs,Bike Theft,
"",,,,,,,,Vista Del Sol Parking,
17-10719T,2/4,2015 hrs,2/4,2015 hrs,2/4,2015 hrs,Vehicle Burglary,,Pending
"",,,,,,,,Structure,
"",,,,,,,,Vista Del Sol Parking,
17-10761T,2/4,2312 hrs,1/31,1500 hrs,2/4,2300 hrs,Vehicle Burglary,,Pending
"",,,,,,,,Structure,
"",,,,,,,,E University Dr/S,
17-10769T,2/4,2333 hrs,2/4,2333 hrs,2/4,2333 hrs,Driving with a suspended/cancelled/revoked license,,Cleared by Arrest
"",,,,,,,,McAllister Ave,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,S McAllister Ave/ E,
17-10783T,2/5,0018 hrs,2/5,0018 hrs,2/5,0018 hrs,Assault,,Pending
"",,,,,,,,Tyler Mall,
"",,,,,,,"Possession of Marijuana, Possession of Drug",E University Dr/ S,
17-10787T,2/5,0035 hrs,2/5,0035 hrs,2/5,0035 hrs,,,Pending
"",,,,,,,Paraphernalia,Dorsey Ln,
"",,,,,,,,E Rio Salado Pkwy/ S,
17-10806T,2/5,0230 hrs,2/5,0230 hrs,2/5,0558 hrs,Possession of Drug Paraphernalia,,Cleared By Arrest
"",,,,,,,,Rural Rd,
"",,,,,,,,S Myrtle Ave/ E,
17-10808T,2/5,0234 hrs,2/5,0234 hrs,2/5,0234 hrs,Possession of Drug Paraphernalia,,Cleared By Arrest
"",,,,,,,,University Dr,
"",,,,,,,,Sun Devil Fitness,
17-10955T,2/5,1808 hrs,2/5,1800 hrs,2/5,1800 hrs,"Disorderly Conduct, Criminal Trespass",,Cleared By Arrest
"",,,,,,,,Complex,
"",,,,,,,,Sun Devil Fitness,
17-10966T,2/5,1808 hrs,2/5,1530 hrs,2/5,1730 hrs,Bike Theft,,Pending
"",,,,,,,,Complex,
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
"",,,,,,,,University Services
17-11098T,2/6,0741 hrs,2/2,1700 hrs,2/3,1700 hrs,Criminal Damage,Closed
"",,,,,,,,Building
"",,,,,,,,Engineering Center A-
17-11210T,2/6,1405 hrs,2/1,1700 hrs,2/6,0600 hrs,Theft,Pending
"",,,,,,,,Wing
"",,,,,,,,Engineering Center A-
17-11265T,2/6,1830 hrs,2/6,0830 hrs,2/6,1740 hrs,Criminal Damage,Pending
"",,,,,,,,Wing
"",,,,,,,,S Mill Ave/E University
17-11344T,2/6,2208 hrs,2/6,2208 hrs,2/6,2208 hrs,Driving with a suspended/cancelled/revoked license,Cleared by Arrest
"",,,,,,,,Dr
17-80000043T,2/6,1447 hrs,2/5,0000 hrs,2/6,1035 hrs,Bike Theft,Rosewood Hall Pending
17-80000063T,2/6,2256 hrs,2/6,1300 hrs,2/6,2256 hrs,Bike Theft,College of Design North Pending
17-80000067T,2/6,1202 hrs,2/3,1400 hrs,2/6,0700 hrs,Bike Theft,1100 Block S Rural Rd Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-11476T,2/7,0852 hrs,2/3,0400 hrs,2/7,0630 hrs,Criminal Damage,Material Sciences,Pending
17-11553T,2/7,1324 hrs,10/30,2220 hrs,10/30,2220 hrs,Assault,Vista Del Sol,Pending
"",,,,,,,"Theft of Means of Transportation, Possession of Drug",,
17-11555T,2/7,1328 hrs,2/7,1328 hrs,2/7,1936 hrs,,LDS,Pending
"",,,,,,,Paraphernalia,,
17-11622T,2/7,1815 hrs,2/7,1640 hrs,2/7,1750 hrs,Theft,Payne Hall,Pending
17-11651T,2/7,2009 hrs,2/7,2000 hrs,2/7,2007 hrs,Voyeurism,University Center,Pending
"",,,,,,,,E University Dr/S,
17-11659T,2/7,2040 hrs,2/7,2040 hrs,2/7,2040 hrs,Racing/Exhibition of Speed,,Cleared by Arrest
"",,,,,,,,McAllister Ave,
17-11690T,2/7,2154 hrs,2/7,2149 hrs,2/7,2233 hrs,Possession of Drug Paraphernalia,1400 Block S Rural Rd,Cleared by Arrest
"",,,,,,,,E Lemon St/S Forest,
17-11701T,2/7,2221 hrs,2/7,2220 hrs,2/7,2238 hrs,Fail to comply with the order of a police officer,,Pending
"",,,,,,,,Ave,
17-11722D,2/7,2320 hrs,2/7,2320 hrs,2/7,2320 hrs,Possession of Drug Paraphernalia,Taylor Place,Cleared by Arrest
17-80000044T,2/7,1225 hrs,2/2,1215 hrs,2/5,1215 hrs,Theft,Barrett Honors College,Pending
17-80000046T,2/7,2240 hrs,2/6,1200 hrs,2/6,1800 hrs,Bike Theft,300 Block E Orange St,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-11753T,2/8,0056 hrs,2/8,0056 hrs,2/8,0056 hrs,Minor with alcohol in body x3,Dominos Pizza,Cleared by Arrest
"",,,,,,,"Possession of Marijuana, Possession of Drug",Fulton Parking,
17-12101T,2/8,2309 hrs,2/8,2309 hrs,2/9,0018 hrs,,,Pending
"",,,,,,,Paraphernalia x2,Structure,
"",,,,,,,,Sun Devil Fitness,
17-80000054T,2/8,1445 hrs,2/8,1420 hrs,2/8,1420 hrs,Theft,,Pending
"",,,,,,,,Center,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,E University Dr/S,
17-12133T,2/9,0128 hrs,2/9,0128 hrs,2/9,0128 hrs,Driving with a suspended/cancelled/revoked license,,Cleared by Arrest
"",,,,,,,,Dorsey Ln,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
17-12146T,2/9,0245 hrs,2/9,0245 hrs,2/9,0431 hrs,,E Rural Rd/E 6th St,Pending
"",,,,,,,Paraphernalia,,
17-12218T,2/9,0917 hrs,2/9,0917 hrs,2/9,0917 hrs,Minor with Alcohol in Body,Noble Library,Cleared by Arrest
17-12240W,2/9,1100 hrs,2/3,1100 hrs,2/6,1430 hrs,Burglary,Casa De Oro,Pending
17-12338T,2/9,1743 hrs,2/9,1400 hrs,2/9,1730 hrs,Fail to remain at attended vehicle accident,Parking Structure 3,Pending
"",,,,,,,,E Apache Blvd/S Rural,
17-12433T,2/9,2245 hrs,2/9,2245 hrs,2/9,2245 hrs,Driving with a suspended/cancelled/revoked license,,Cleared by Arrest
"",,,,,,,,Rd,
17-80000045T,2/9,0914 hrs,2/9,0105 hrs,2/9,0505 hrs,Bike Theft,Payne Halle,Pending
17-80000077T,2/9,2116 hrs,2/9,1900 hrs,2/9,2030 hrs,Bike Theft,Memorial Union,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-80000048T,2/10,1359 hrs,2/9,1900 hrs,2/9,2300 hrs,Theft,University Center,Pending
17-80000049T,2/10,2222 hrs,2/9,1910 hrs,2/9,1915 hrs,Bike Theft,Life Science,Pending
17-80000050T,2/10,2049 hrs,2/10,1300 hrs,2/10,1650 hrs,Bike Theft,Cronkite Building,Pending
17-80000052T,2/10,1618 hrs,2/9,1830 hrs,2/9,1930 hrs,Bike Theft,Hassayampa Hall,Pending
17-12467T,2/10,0050 hrs,2/10,0050 hrs,2/10,0057 hrs,Under 21 with Alcohol in the Body,Hassayampa Hall,Pending
"",,,,,,,"Possession of Drug Paraphernalia, Possession of",,
17-12487T,2/10,0210 hrs,2/10,0210 hrs,2/10,0210 hrs,,E Dorsey Rd/ El Parque,Pending
"",,,,,,,"Dangerous Drugs, Driving with a Suspended License",,
17-12539P,2/10,0743 hrs,2/6,1230hrs,2/7,0830 hrs,Burglary,San Tan Hall,Pending
17-12606T,2/10,1144 hrs,2/10,1155 hrs,2/10,1215 hrs,Driving while Suspended License,E Rural Rd/ E tyler St,Cleared By Arrest
17-12650T,2/10,1449 hrs,2/10,1449 hrs,2/10,1519 hrs,Theft,Memorial Union,Pending
"",,,,,,,,300 Block of E,
17-12701T,2/10,1902 hrs,2/10,1902 hrs,2/10,1902 hrs,"Disorderly Conduct, Under 21 with Alcohol in the Body",,Cleared By Arrest
"",,,,,,,,Veterans Way,
"",,,,,,,,S Power Rd/ E Verona,
17-12736T,2/10,2059 hrs,2/10,2059 hrs,2/10,2150 hrs,Driving while Suspended License,,Cleared By Arrest
"",,,,,,,,Ave,
"",,,,,,,"Possession of Marijuana, Possession Drug",,
17-12781T,2/10,2242 hrs,2/10,2242 hrs,2/10,2242 hrs,"Paraphernalia, Unlawful to Sell Liquor to an Under",Nelson Fine Arts,Pending
"",,,,,,,Aged Person,,
17-12799T,2/10,2339 hrs,2/10,2248 hrs,2/10,2323 hrs,"Criminal Trespass,",Coor Hall,Cleared By Arrest
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
17-12807T,2/11,0003 hrs,2/11,0003 hrs,2/11,0030 hrs,Criminal Trespass,Business Administration Cleared By Arrest
"",,,,,,,,800 Block of S Rural
17-12840T,2/11,0145 hrs,2/11,0145 hrs,2/11,0145 hrs,Possession of Drug Paraphernalia,Cleared By Arrest
"",,,,,,,,Rd
17-12851T,2/11,0253 hrs,2/11,0253 hrs,2/11,0253 hrs,Theft of Services,Sun Devil Stadium Pending
17-12860T,2/11,0323 hrs,2/11,0323 hrs,2/11,0323 hrs,Possession of Drug Paraphernalia,West Parking Lot 11 Cleared By Arrest
17-13000T,2/11,1601 hrs,2/11,1200 hrs,2/11,1600 hrs,Criminal Damage,Parking Structure 5 Pending
17-13041T,2/11,1948 hrs,2/11,1948 hrs,2/11,1948 hrs,Theft,Juniper Hall Pending
17-13047T,2/11,2014 hrs,2/11,2014 hrs,2/11,2014 hrs,Possession of Drug Paraphernalia,E Lemon St/ S Rural Rd Cleared By Arrest
17-13048T,2/11,2017 hrs,2/11,2017 hrs,2/11,2017 hrs,Under 21w Alcohol in the Body,Vista Del So Cleared By Arrest
17-13075T,2/11,2156 hrs,2/11,2156 hrs,2/11,2156 hrs,Assault,Hayden Library Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,Las Casas Parking Lot,
17-13256W,2/12,1212 hrs,2/11,1930 hrs,2/12,1200 hrs,Criminal Damage,,Pending
"",,,,,,,,19,
17-13323T,2/12,1922 hrs,2/12,1922 hrs,2/12,1922 hrs,Stalking,325 E Apache Blvd,Pending
"",,,,,,,,E University Dr/ S,
17-13353T,2/12,2212 hrs,2/12,2212 hrs,2/12,2212 hrs,Under 21 with Alcohol in the Body,,Cleared By Arrest
"",,,,,,,,College Ave,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description Location,,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Possession of Narcotic Drugs, Possession of Drug",,
17-13461P,2/13,0827 hrs,2/11,1100 hrs,2/13,1333 hrs,"Paraphernalia, Unlawful Possession of Prescription-only Century Hall",,Pending
"",,,,,,,Drugs,,
17-13495T,2/13,1030 hrs,2/13,0945 hrs,2/13,1030 hrs,Criminal Damage Tempe Center,,Pending
17-13496T,2/13,1033 hrs,2/9,1200 hrs,2/13,1030 hrs,Criminal Damage Parking Area 20,,Closed
17-13530T,2/13,1340 hrs,2/8,1700 hrs,2/13,1330 hrs,Bike Theft Parking Structure 4,,Pending
17-13543T,2/13,1437 hrs,2/13,1400 hrs,2/13,1420 hrs,Theft Hassayampa F-Wing,,Pending
"",,,,,,,Walter Cronkite School,,
17-13544D,2/13,1443 hrs,2/13,1440 hrs,2/13,1430 hrs,Possession of Drug Paraphernalia,,Pending
"",,,,,,,of Journalism,,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
17-13666T,2/13,2302 hrs,2/13,2302 hrs,2/13,0552 hrs,Agave Hall,,Pending
"",,,,,,,Paraphernalia,,
"",,,,,,,E University Dr/S,,
17-13684T,2/13,2350 hrs,2/13,2350 hrs,2/14,0030 hrs,Driving with a suspended/cancelled/revoked license,,Cleared by Arrest
"",,,,,,,College Ave,,
17-80000053T,2/13,1520 hrs,2/13,1345 hrs,2/13,1440 hrs,Theft Memorial Union,,Pending
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
17-13695T,2/14,0134 hrs,12/9,0000 hrs,2/14,2000 hrs,Computer Tampering,Manzanita Hall Pending
"",,,,,,,,Sun Devil Fitness
17-13823W,2/14,1213 hrs,12/1,0900 hrs,1/25,0900 hrs,Harassment,Pending
"",,,,,,,,Center-West
17-13858T,2/14,1456 hrs,1/26,2015 hrs,2/14,1454 hrs,Theft,Dominos Pending
17-13883T,2/14,1633 hrs,2/14,1530 hrs,2/14,1615 hrs,Bike Theft,Noble Library Pending
17-13890T,2/14,1705 hrs,2/14,1705 hrs,2/14,1755 hrs,Possession of Drug Paraphernalia,Hassayampa D-Wing Cleared by Arrest
"",,,,,,,,Walter Cronkite School
17-13895D,2/14,1741 hrs,2/14,1741 hrs,2/15,0331 hrs,Bike Theft,Pending
"",,,,,,,,of Journalism
17-13922T,2/14,1959 hrs,2/13,1115 hrs,2/14,2106 hrs,Theft,College of Design South Cleared by Arrest
17-13966P,2/14,2306 hrs,2/14,2306 hrs,2/14,2306 hrs,Criminal Damage,Santan Hall Pending
"",,,,,,,,Physical Sciences H-
17-80000062T,2/14,2124 hrs,2/14,1800 hrs,2/14,2000 hrs,Bike Theft,Pending
"",,,,,,,,Wing
"",,,,,,,,Business Administration
17-80000061T,2/14,2120 hrs,2/14,1640 hrs,2/14,1750 hrs,Bike Theft,Pending
"",,,,,,,,C-Wing
"",,,,,,,,Sun Devil Fitness
17-80000060T,2/14,1854 hrs,2/11,1840 hrs,2/12,1840 hrs,Theft,Pending
"",,,,,,,,Center
17-80000059T,2/14,1836 hrs,2/14,1300 hrs,2/14,1815 hrs,Bike Theft,Lattie Coor Pending
17-80000058T,2/14,1817 hrs,2/14,1330 hrs,2/14,1810 hrs,Bike Theft,Hassayampa F-Wing,Pending
17-80000057T,2/14,1801 hrs,2/14,1330 hrs,2/14,1610 hrs,Bike Theft,Lattie Coor,Pending
"",,,,,,,,Sun Devil Fitness,
17-80000056T,2/14,1758 hrs,2/9,2100 hrs,2/9,2300 hrs,Theft,,Pending
"",,,,,,,,Center,
17-80000055D,2/14,1203 hrs,2/14,0900 hrs,2/14,1015 hrs,Bike Theft,Mercado A-Winng,
"",,,,,,,"Possession of Drug Paraphernalia, Possession of",,
17-13940T,2/14,2125 hrs,2/14,2125 hrs,2/14,2302 hrs,,800 Block E Lemon St,Pending
"",,,,,,,Marijuana,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
14-14217T,2/15,1838 hrs,2/15,1838 hrs,2/15,2112 hrs,"Assault, Possession of Drug Paraphernalia",Sonora Hall,Cleared by Arrest
"",,,,,,,"Possession of Drug Paraphernalia, Possession of",,
14-14268T,2/15,2144 hrs,2/15,2144 hrs,2/15,0120 hrs,,Hassayampa,Cleared by Arrest
"",,,,,,,Marijuana,,
"",,,,,,,,Physical Sciences F-,
17-80000064T,2/15,1200 hrs,2/14,1500 hrs,2/14,1615 hrs,Theft,,Pending
"",,,,,,,,Wing,
17-80000065T,2/15,1524 hrs,2/14,2000 hrs,2/15,1045 hrs,Bike Theft,Palo Verde West,Pending
14-14059T,2/15,0818 hrs,2/8,1623 hrs,2/8,1623 hrs,Hit and Run Accident,Parking Structure 5,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-14484T,2/16,1245 hrs,2/16,1230 hrs,2/16,1250 hrs,Shoplifting x2,Bookstore,Cleared by Arrest
"",,,,,,,,E Edgewater/E Tillman,
17-14494T,2/16,1300 hrs,1/24,1200 hrs,2/14,1530 hrs,Theft,,Pending
"",,,,,,,,Ave,
"",,,,,,,,E Edgewater St/E,
17-14495T,2/16,1300 hrs,1/24,1200 hrs,2/14,1530 hrs,Theft,,Pending
"",,,,,,,,Ulysses Ave,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
"",,,,,,,"Paraphernalia, Theft, Theft-Failure to Attempt to Notify",,
"",,,,,,,"Owner of Found Property, Unlawful to",,
17-14610T,2/16,2111 hrs,2/16,2111 hrs,2/16,2111 hrs,,Sonora Hall,Pending
"",,,,,,,Sell/Furnish/Dispose of/give Liquor to an Under Aged,,
"",,,,,,,"Person, Possession of Dangerous Drugs, Marijuana-",,
"",,,,,,,Transport for Sale or Import into State,,
17-80000066T,2/16,2212 hrs,2/16,1845 hrs,2/16,2120 hrs,Bike Theft,Lyceum Theatre,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,Unlawful to Sell/Furnish/Dispose of/give Liquor to an,,
17-14658T,2/17,0017 hrs,2/17,0017 hrs,2/17,0046 hrs,,University House,Cleared by Arrest
"",,,,,,,Under Aged Person,,
"",,,,,,,Unlawful to Sell/Furnish/Dispose of/give Liquor to an,,
17-14666T,2/17,0045 hrs,2/17,0045 hrs,2/17,0104 hrs,,Parking Structure 5,Cleared by Arrest
"",,,,,,,Under Aged Person,,
17-14745T,2/17,0941 hrs,2/15,1700 hrs,2/15,1800 hrs,Theft,Computing Commons,Pending
17-14784T,2/17,1241 hrs,2/17,1120 hrs,2/17,1215 hrs,Theft,Manzanita,Pending
"",,,,,,,,Physical Sciences C-,
17-14809T,2/17,1500 hrs,2/16,1800 hrs,2/17,1500 hrs,Criminal Damage,,Pending
"",,,,,,,,Wing,
"",,,,,,,Aggravated Harassment- Harassment in Violation of,,
17-14863T,2/17,1909 hrs,2/17,0000 hrs,2/17,2130 hrs,,Fulton Center,Pending
"",,,,,,,Valid Order of Protection,,
17-14884T,2/17,2008 hrs,2/17,2008 hrs,2/17,2008 hrs,Public Nuisance,Parking Area 72,Cleared by Arrest
17-14900T,2/17,2100 hrs,2/17,2100 hrs,2/17,2100 hrs,Minor with Alcohol in Body,Adelphi Commons,Cleared by Arrest
"",,,,,,,"Possession of Marijuana x2, Possession of Drug",,
